product,weight,index_start,index_peak,index_change,pct_change
Steel and reinforced bars,10.69,120.78,189.19,68.4,56.6
Cement,14.18,96.32,120.44,24.1,25.0
Timber and Wood,2.2,95.79,103.94,8.1,8.5
